Change Component DesignItemId : Designator=U10 Old DesignItemId=80 New DesignItemId=80028
Change Component DesignItemId : Designator=U1 Old DesignItemId=CC254 New DesignItemId=CC2541V7
Change Component DesignItemId : Designator=U2 Old DesignItemId=E32- New DesignItemId=E32-433
Change Component DesignItemId : Designator=U4 Old DesignItemId=MCP6 New DesignItemId=MCP6001
Change Component DesignItemId : Designator=OLED1 Old DesignItemId=O New DesignItemId=OLED12864
Change Component DesignItemId : Designator=N2 Old DesignItemId=P- New DesignItemId=P-MOS
Change Component DesignItemId : Designator=N3 Old DesignItemId=P- New DesignItemId=P-MOS
Change Component DesignItemId : Designator=S1 Old DesignItemId=Swi New DesignItemId=Switch
Change Component DesignItemId : Designator=S2 Old DesignItemId=Swi New DesignItemId=Switch
Change Component DesignItemId : Designator=S3 Old DesignItemId=Swi New DesignItemId=Switch
Change Component DesignItemId : Designator=S4 Old DesignItemId=Swi New DesignItemId=Switch
Change Component DesignItemId : Designator=S5 Old DesignItemId=Swi New DesignItemId=Switch
Change Component DesignItemId : Designator=U8 Old DesignItemId=W25 New DesignItemId=W25X10
Change Component Footprint: Designator=U8 Old Footprint=SOP-8_150mil New Footprint=SOIC127P790X265-8N
Change Component Description : Designator=Q1 Old Description= New Description=Èı¼«¹Ü
Change Component Description : Designator=R1 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R2 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R3 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R4 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R5 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R6 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R7 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R8 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R9 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R10 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R11 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R12 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R13 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R14 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R15 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R16 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R17 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R18 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R19 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R20 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R21 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R22 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R23 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R24 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R25 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R26 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R27 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R28 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R29 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R30 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R31 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=R32 Old Description= New Description=ÌùÆ¬µç×è
Change Component Description : Designator=U7 Old Description=500mA, Low-Noise LDO Voltage Regula New Description=500mA, Low-Noise LDO Voltage Regulator
Change Component Description : Designator=C1 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C2 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C3 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C4 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C5 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C6 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C13 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C14 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C15 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C16 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C17 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C18 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C19 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C20 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C21 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C22 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C23 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C24 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C25 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C26 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C27 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C28 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C29 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C30 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C31 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C32 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C33 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C34 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C35 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C36 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C37 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C38 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C39 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C40 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C41 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C42 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C43 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=C44 Old Description=? New Description=ÌùÆ¬µçÈİ
